market|ZoneName|network|broadcastday|broadcastweek|quarterhrcode|CostPer1KHHImp|HHImp|C25Imp|C611Imp|M1220Imp|M2134Imp|M3454Imp|M55PlusImp|W1220Imp|W2134Imp|W3454Imp|W55PlusImp
Atlanta|Clayton GA|CNN|2015-10-05|41|0515|7|3850|5|8|23|385|23|322|5|35|325|355
Atlanta|Clayton GA|CNN|2015-10-05|41|0530|2|3550|5|38|335|382|323|322|5|35|825|355
Atlanta|Clayton GA|CNN|2015-10-05|41|0545|3|3250|5|38|335|382|323|335|5|35|855|855
Atlanta|Clayton GA|CNN|2015-10-05|41|0600|4|8250|5|38|235|582|323|339|5|35|555|555
Atlanta|Clayton GA|CNN|2015-10-05|41|0615|5|8392|3|2|832|325|383|095|32|50|850|095
Atlanta|Clayton GA|CNN|2015-10-05|41|0630|6|925|8|2|59|23|335|25|93|09|93|39
Atlanta|Clayton GA|CNN|2015-10-05|41|0645|8|925|8|2|59|25|355|25|95|08|92|35
Atlanta|Clayton GA|CNN|2015-10-05|41|0700|9|525|8|2|39|95|25|35|95|08|95|05
Atlanta|Clayton GA|CNN|2015-10-05|41|0715|77|3850|5|8|23|385|23|322|5|35|325|355
Atlanta|Clayton GA|CNN|2015-10-05|41|0730|72|3550|5|38|335|382|323|322|5|35|825|355
Atlanta|Clayton GA|CNN|2015-10-05|41|0745|73|3250|5|38|335|382|323|335|5|35|855|855
Atlanta|Clayton GA|CNN|2015-10-05|41|0800|74|8250|5|38|235|582|323|339|5|35|555|555
Atlanta|Clayton GA|CNN|2015-10-05|41|0815|75|8392|3|2|832|325|383|095|32|50|850|095
Atlanta|Clayton GA|CNN|2015-10-05|41|0830|76|925|8|2|59|23|335|25|93|09|93|39
Atlanta|Clayton GA|CNN|2015-10-05|41|0845|7|925|8|2|59|25|355|25|95|08|92|35
Atlanta|Clayton GA|CNN|2015-10-05|41|0900|2|525|8|2|39|95|25|35|95|08|95|05
Atlanta|Clayton GA|CNN|2015-10-05|41|0915|3|3850|5|8|23|385|23|322|5|35|325|355
Atlanta|Clayton GA|CNN|2015-10-05|41|0930|4|3550|5|38|335|382|323|322|5|35|825|355
Atlanta|Clayton GA|CNN|2015-10-05|41|0945|5|3250|5|38|335|382|323|335|5|35|855|855
Atlanta|Clayton GA|CNN|2015-10-05|41|1000|6|8250|5|38|235|582|323|339|5|35|555|555
Atlanta|Clayton GA|CNN|2015-10-05|41|1015|8|8392|3|2|832|325|383|095|32|50|850|095
Atlanta|Clayton GA|CNN|2015-10-05|41|1030|9|925|8|2|59|23|335|25|93|09|93|39
Atlanta|Clayton GA|CNN|2015-10-05|41|1045|77|925|8|2|59|25|355|25|95|08|92|35
Atlanta|Clayton GA|CNN|2015-10-05|41|1100|72|525|8|2|39|95|25|35|95|08|95|05
Atlanta|Clayton GA|CNN|2015-10-05|41|1115|73|3850|5|8|23|385|23|322|5|35|325|355
Atlanta|Clayton GA|CNN|2015-10-05|41|1130|74|3550|5|38|335|382|323|322|5|35|825|355
Atlanta|Clayton GA|CNN|2015-10-05|41|1145|75|3250|5|38|335|382|323|335|5|35|855|855
Atlanta|Clayton GA|CNN|2015-10-05|41|1200|76|8250|5|38|235|582|323|339|5|35|555|555
Atlanta|Clayton GA|CNN|2015-10-05|41|1215|73|8392|3|2|832|325|383|095|32|50|850|095
Atlanta|Clayton GA|CNN|2015-10-05|41|1230|74|925|8|2|59|23|335|25|93|09|93|39
Atlanta|Clayton GA|CNN|2015-10-05|41|1245|72|925|8|2|59|25|355|25|95|08|92|35
Atlanta|Clayton GA|CNN|2015-10-05|41|1300|77|525|8|2|39|95|25|35|95|08|95|05
Atlanta|Clayton GA|CNN|2015-10-05|41|1315|70|8392|3|2|832|325|383|095|32|50|850|095
Atlanta|Clayton GA|CNN|2015-10-05|41|1330|9|925|8|2|59|23|335|25|93|09|93|39
Atlanta|Clayton GA|CNN|2015-10-05|41|1345|8|925|8|2|59|25|355|25|95|08|92|35
Atlanta|Clayton GA|CNN|2015-10-05|41|1400|3|525|8|2|39|95|25|35|95|08|95|05
Atlanta|Clayton GA|CNN|2015-10-05|41|1415|6|3850|5|8|23|385|23|322|5|35|325|355
Atlanta|Clayton GA|CNN|2015-10-05|41|1430|5|3550|5|38|335|382|323|322|5|35|825|355
Atlanta|Clayton GA|CNN|2015-10-05|41|1445|4|3250|5|38|335|382|323|335|5|35|855|855
Atlanta|Clayton GA|CNN|2015-10-05|41|1500|3|8250|5|38|235|582|323|339|5|35|555|555
