market|ZoneName|network|broadcastday|broadcastweek|quarterhrcode|CostPer2KHHImp|HHImp|C25Imp|C611Imp|M1220Imp|M2134Imp|M3454Imp|M55PlusImp|W1220Imp|W2134Imp|W3454Imp|W55PlusImp
Atlanta|Clayton GA|CNN|2016-10-03|41|0515|4|1834|3|8|97|183|97|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-03|41|0530|4|1334|3|18|113|189|197|119|3|13|813|133
Atlanta|Clayton GA|CNN|2016-10-03|41|0545|1|1134|3|18|113|189|197|113|3|13|833|833
Atlanta|Clayton GA|CNN|2016-10-03|41|0600|1|8134|3|18|113|389|197|174|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-03|41|0615|3|8149|1|1|811|793|181|443|11|34|834|443
Atlanta|Clayton GA|CNN|2016-10-03|41|0630|6|413|8|1|34|97|113|13|47|44|47|74
Atlanta|Clayton GA|CNN|2016-10-03|41|0645|8|413|8|1|34|93|133|13|43|48|49|73
Atlanta|Clayton GA|CNN|2016-10-03|41|0700|9|313|8|1|14|43|93|13|43|48|43|43
Atlanta|Clayton GA|CNN|2016-10-03|41|0715|44|1834|3|8|97|183|97|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-03|41|0730|44|1334|3|18|113|189|197|119|3|13|813|133
Atlanta|Clayton GA|CNN|2016-10-03|41|0745|41|1134|3|18|113|189|197|113|3|13|833|833
Atlanta|Clayton GA|CNN|2016-10-03|41|0800|41|8134|3|18|113|389|197|174|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-03|41|0815|43|8149|1|1|811|793|181|443|11|34|834|443
Atlanta|Clayton GA|CNN|2016-10-03|41|0830|46|413|8|1|34|97|113|13|47|44|47|74
Atlanta|Clayton GA|CNN|2016-10-03|41|0845|4|413|8|1|34|93|133|13|43|48|49|73
Atlanta|Clayton GA|CNN|2016-10-03|41|0900|4|313|8|1|14|43|93|13|43|48|43|43
Atlanta|Clayton GA|CNN|2016-10-03|41|0915|1|1834|3|8|97|183|97|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-03|41|0930|1|1334|3|18|113|189|197|119|3|13|813|133
Atlanta|Clayton GA|CNN|2016-10-03|41|0945|3|1134|3|18|113|189|197|113|3|13|833|833
Atlanta|Clayton GA|CNN|2016-10-03|41|1000|6|8134|3|18|113|389|197|174|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-03|41|1015|8|8149|1|1|811|793|181|443|11|34|834|443
Atlanta|Clayton GA|CNN|2016-10-03|41|1030|9|413|8|1|34|97|113|13|47|44|47|74
Atlanta|Clayton GA|CNN|2016-10-03|41|1045|44|413|8|1|34|93|133|13|43|48|49|73
Atlanta|Clayton GA|CNN|2016-10-03|41|1100|44|313|8|1|14|43|93|13|43|48|43|43
Atlanta|Clayton GA|CNN|2016-10-03|41|1115|41|1834|3|8|97|183|97|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-03|41|1130|41|1334|3|18|113|189|197|119|3|13|813|133
Atlanta|Clayton GA|CNN|2016-10-03|41|1145|43|1134|3|18|113|189|197|113|3|13|833|833
Atlanta|Clayton GA|CNN|2016-10-03|41|1200|46|8134|3|18|113|389|197|174|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-03|41|1215|41|8149|1|1|811|793|181|443|11|34|834|443
Atlanta|Clayton GA|CNN|2016-10-03|41|1230|41|413|8|1|34|97|113|13|47|44|47|74
Atlanta|Clayton GA|CNN|2016-10-03|41|1245|44|413|8|1|34|93|133|13|43|48|49|73
Atlanta|Clayton GA|CNN|2016-10-03|41|1300|44|313|8|1|14|43|93|13|43|48|43|43
Atlanta|Clayton GA|CNN|2016-10-03|41|1315|41|8149|1|1|811|793|181|443|11|34|834|443
Atlanta|Clayton GA|CNN|2016-10-03|41|1330|9|413|8|1|34|97|113|13|47|44|47|74
Atlanta|Clayton GA|CNN|2016-10-03|41|1345|8|413|8|1|34|93|133|13|43|48|49|73
Atlanta|Clayton GA|CNN|2016-10-03|41|1400|7|313|8|1|14|43|93|13|43|48|43|43
Atlanta|Clayton GA|CNN|2016-10-03|41|1415|6|1834|3|8|97|183|97|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-03|41|1430|3|1334|3|18|113|189|197|119|3|13|813|133
Atlanta|Clayton GA|CNN|2016-10-03|41|1445|1|1134|3|18|113|189|197|113|3|13|833|833
Atlanta|Clayton GA|CNN|2016-10-03|41|1500|1|8134|3|18|113|389|197|174|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-03|41|1515|4|8149|1|1|811|793|181|443|11|34|834|443
Atlanta|Clayton GA|CNN|2016-10-03|41|1530|4|413|8|1|34|97|113|13|47|44|47|74
Atlanta|Clayton GA|CNN|2016-10-03|41|1545|44|413|8|1|34|93|133|13|43|48|49|73
Atlanta|Clayton GA|CNN|2016-10-03|41|1600|44|313|8|1|14|43|93|13|43|48|43|43
Atlanta|Clayton GA|CNN|2016-10-03|41|1615|41|8149|1|1|811|793|181|443|11|34|834|443
Atlanta|Clayton GA|CNN|2016-10-03|41|1630|41|413|8|1|34|97|113|13|47|44|47|74
Atlanta|Clayton GA|CNN|2016-10-03|41|1645|47|413|8|1|34|93|133|13|43|48|49|73
Atlanta|Clayton GA|CNN|2016-10-03|41|1700|44|313|8|1|14|43|93|13|43|48|43|43
Atlanta|Clayton GA|CNN|2016-10-03|41|1715|44|1834|3|8|97|183|97|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-03|41|1730|43|1334|3|18|113|189|197|119|3|13|813|133
Atlanta|Clayton GA|CNN|2016-10-03|41|1745|4|1134|3|18|113|189|197|113|3|13|833|833
Atlanta|Clayton GA|CNN|2016-10-03|41|1800|4|8134|3|18|113|389|197|174|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-03|41|1815|1|8149|1|1|811|793|181|443|11|34|834|443
Atlanta|Clayton GA|CNN|2016-10-03|41|1830|1|413|8|1|34|97|113|13|47|44|47|74
Atlanta|Clayton GA|CNN|2016-10-03|41|1845|3|413|8|1|34|93|133|13|43|48|49|73
Atlanta|Clayton GA|CNN|2016-10-03|41|1900|6|313|8|1|14|43|93|13|43|48|43|43
Atlanta|Clayton GA|CNN|2016-10-03|41|1915|8|8149|1|1|811|793|181|443|11|34|834|443
Atlanta|Clayton GA|CNN|2016-10-03|41|1930|9|413|8|1|34|97|113|13|47|44|47|74
Atlanta|Clayton GA|CNN|2016-10-03|41|1945|44|413|8|1|34|93|133|13|43|48|49|73
Atlanta|Clayton GA|CNN|2016-10-03|41|2000|44|313|8|1|14|43|93|13|43|48|43|43
Atlanta|Clayton GA|CNN|2016-10-03|41|2115|41|1834|3|8|97|183|97|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-03|41|2130|41|1334|3|18|113|189|197|119|3|13|813|133
Atlanta|Clayton GA|CNN|2016-10-03|41|2145|43|1134|3|18|113|189|197|113|3|13|833|833
Atlanta|Clayton GA|CNN|2016-10-03|41|2200|46|8134|3|18|113|389|197|174|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-03|41|2215|4|8149|1|1|811|793|181|443|11|34|834|443
Atlanta|Clayton GA|CNN|2016-10-03|41|2230|4|413|8|1|34|97|113|13|47|44|47|74
Atlanta|Clayton GA|CNN|2016-10-03|41|2245|1|413|8|1|34|93|133|13|43|48|49|73
Atlanta|Clayton GA|CNN|2016-10-03|41|2300|1|313|8|1|14|43|93|13|43|48|43|43
Atlanta|Clayton GA|CNN|2016-10-03|41|2315|3|8149|1|1|811|793|181|443|11|34|834|443
Atlanta|Clayton GA|CNN|2016-10-03|41|2330|6|413|8|1|34|97|113|13|47|44|47|74
Atlanta|Clayton GA|CNN|2016-10-03|41|2345|8|413|8|1|34|93|133|13|43|48|49|73
Atlanta|Clayton GA|CNN|2016-10-03|41|0000|9|313|8|1|14|43|93|13|43|48|43|43
Atlanta|Clayton GA|CNN|2016-10-04|41|0515|44|1134|3|1|98|113|98|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|0530|44|1334|3|11|113|119|198|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|0545|41|1134|3|11|113|119|198|113|3|13|133|133
Atlanta|Clayton GA|CNN|2016-10-04|41|0600|41|1134|3|11|113|319|198|184|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-04|41|0615|43|1149|1|1|111|893|111|443|11|34|134|443
Atlanta|Clayton GA|CNN|2016-10-04|41|0630|46|413|1|1|34|98|113|13|48|44|48|84
Atlanta|Clayton GA|CNN|2016-10-04|41|0645|41|413|1|1|34|93|133|13|43|41|49|83
Atlanta|Clayton GA|CNN|2016-10-04|41|0700|41|313|1|1|14|43|93|13|43|41|43|43
Atlanta|Clayton GA|CNN|2016-10-04|41|0715|44|1134|3|1|98|113|98|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|0730|44|1334|3|11|113|119|198|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|0745|41|1134|3|11|113|119|198|113|3|13|133|133
Atlanta|Clayton GA|CNN|2016-10-04|41|0800|9|1134|3|11|113|319|198|184|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-04|41|0815|8|1149|1|1|111|893|111|443|11|34|134|443
Atlanta|Clayton GA|CNN|2016-10-04|41|0830|7|413|1|1|34|98|113|13|48|44|48|84
Atlanta|Clayton GA|CNN|2016-10-04|41|0845|6|413|1|1|34|93|133|13|43|41|49|83
Atlanta|Clayton GA|CNN|2016-10-04|41|0900|3|313|1|1|14|43|93|13|43|41|43|43
Atlanta|Clayton GA|CNN|2016-10-04|41|0915|1|1134|3|1|98|113|98|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|0930|1|1334|3|11|113|119|198|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|0945|4|1134|3|11|113|119|198|113|3|13|133|133
Atlanta|Clayton GA|CNN|2016-10-04|41|1000|4|1134|3|11|113|319|198|184|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-04|41|1015|44|1149|1|1|111|893|111|443|11|34|134|443
Atlanta|Clayton GA|CNN|2016-10-04|41|1030|44|413|1|1|34|98|113|13|48|44|48|84
Atlanta|Clayton GA|CNN|2016-10-04|41|1045|41|413|1|1|34|93|133|13|43|41|49|83
Atlanta|Clayton GA|CNN|2016-10-04|41|1100|41|313|1|1|14|43|93|13|43|41|43|43
Atlanta|Clayton GA|CNN|2016-10-04|41|1115|47|1134|3|1|98|113|98|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|1130|44|1334|3|11|113|119|198|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|1145|44|1134|3|11|113|119|198|113|3|13|133|133
Atlanta|Clayton GA|CNN|2016-10-04|41|1200|43|1134|3|11|113|319|198|184|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-04|41|1215|4|1149|1|1|111|893|111|443|11|34|134|443
Atlanta|Clayton GA|CNN|2016-10-04|41|1230|4|413|1|1|34|98|113|13|48|44|48|84
Atlanta|Clayton GA|CNN|2016-10-04|41|1245|1|413|1|1|34|93|133|13|43|41|49|83
Atlanta|Clayton GA|CNN|2016-10-04|41|1300|1|313|1|1|14|43|93|13|43|41|43|43
Atlanta|Clayton GA|CNN|2016-10-04|41|1315|3|1149|1|1|111|893|111|443|11|34|134|443
Atlanta|Clayton GA|CNN|2016-10-04|41|1330|6|413|1|1|34|98|113|13|48|44|48|84
Atlanta|Clayton GA|CNN|2016-10-04|41|1345|8|413|1|1|34|93|133|13|43|41|49|83
Atlanta|Clayton GA|CNN|2016-10-04|41|1400|9|313|1|1|14|43|93|13|43|41|43|43
Atlanta|Clayton GA|CNN|2016-10-04|41|1415|44|1134|3|1|98|113|98|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|1430|44|1334|3|11|113|119|198|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|1445|41|1134|3|11|113|119|198|113|3|13|133|133
Atlanta|Clayton GA|CNN|2016-10-04|41|1500|41|1134|3|11|113|319|198|184|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-04|41|1515|43|1149|1|1|111|893|111|443|11|34|134|443
Atlanta|Clayton GA|CNN|2016-10-04|41|1530|46|413|1|1|34|98|113|13|48|44|48|84
Atlanta|Clayton GA|CNN|2016-10-04|41|1545|4|413|1|1|34|93|133|13|43|41|49|83
Atlanta|Clayton GA|CNN|2016-10-04|41|1600|4|313|1|1|14|43|93|13|43|41|43|43
Atlanta|Clayton GA|CNN|2016-10-04|41|1615|1|1149|1|1|111|893|111|443|11|34|134|443
Atlanta|Clayton GA|CNN|2016-10-04|41|1630|1|413|1|1|34|98|113|13|48|44|48|84
Atlanta|Clayton GA|CNN|2016-10-04|41|1645|3|413|1|1|34|93|133|13|43|41|49|83
Atlanta|Clayton GA|CNN|2016-10-04|41|1700|6|313|1|1|14|43|93|13|43|41|43|43
Atlanta|Clayton GA|CNN|2016-10-04|41|1715|8|1134|3|1|98|113|98|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|1730|9|1334|3|11|113|119|198|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|1745|44|1134|3|11|113|119|198|113|3|13|133|133
Atlanta|Clayton GA|CNN|2016-10-04|41|1800|44|1134|3|11|113|319|198|184|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-04|41|1815|41|1149|1|1|111|893|111|443|11|34|134|443
Atlanta|Clayton GA|CNN|2016-10-04|41|1830|41|413|1|1|34|98|113|13|48|44|48|84
Atlanta|Clayton GA|CNN|2016-10-04|41|1845|43|413|1|1|34|93|133|13|43|41|49|83
Atlanta|Clayton GA|CNN|2016-10-04|41|1900|46|313|1|1|14|43|93|13|43|41|43|43
Atlanta|Clayton GA|CNN|2016-10-04|41|1915|41|1149|1|1|111|893|111|443|11|34|134|443
Atlanta|Clayton GA|CNN|2016-10-04|41|1930|41|413|1|1|34|98|113|13|48|44|48|84
Atlanta|Clayton GA|CNN|2016-10-04|41|1945|44|413|1|1|34|93|133|13|43|41|49|83
Atlanta|Clayton GA|CNN|2016-10-04|41|2000|44|313|1|1|14|43|93|13|43|41|43|43
Atlanta|Clayton GA|CNN|2016-10-04|41|2115|41|1134|3|1|98|113|98|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|2130|9|1334|3|11|113|119|198|119|3|13|113|133
Atlanta|Clayton GA|CNN|2016-10-04|41|2145|8|1134|3|11|113|119|198|113|3|13|133|133
Atlanta|Clayton GA|CNN|2016-10-04|41|2200|7|1134|3|11|113|319|198|184|3|13|333|333
Atlanta|Clayton GA|CNN|2016-10-04|41|2215|6|1149|1|1|111|893|111|443|11|34|134|443
