market|ZoneName|network|broadcastday|broadcastweek|quarterhrcode|CostPer1KHHImp|HHImp|C25Imp|C611Imp|M1220Imp|M2134Imp|M3454Imp|M55PlusImp|W1220Imp|W2134Imp|W3454Imp|W55PlusImp
Atlanta|Douglas GA|CNN|2014-09-30|40|0515|1|3650|5|6|37|365|37|323|5|35|325|355
Atlanta|Douglas GA|CNN|2014-09-30|40|0530|2|3550|5|36|335|363|337|323|5|35|625|355
Atlanta|Douglas GA|CNN|2014-09-30|40|0545|3|3250|5|36|335|363|337|335|5|35|655|655
Atlanta|Douglas GA|CNN|2014-09-30|40|0600|8|6250|5|36|235|563|337|378|5|35|555|555
Atlanta|Douglas GA|CNN|2014-09-30|40|0615|5|6383|3|2|632|735|363|085|32|50|650|085
Atlanta|Douglas GA|CNN|2014-09-30|40|0630|6|825|6|2|58|37|335|25|87|08|87|78
Atlanta|Douglas GA|CNN|2014-09-30|40|0645|6|825|6|2|58|35|355|25|85|06|83|75
Atlanta|Douglas GA|CNN|2014-09-30|40|0700|3|525|6|2|38|85|35|35|85|06|85|05
Atlanta|Douglas GA|CNN|2014-09-30|40|0715|11|3650|5|6|37|365|37|323|5|35|325|355
Atlanta|Douglas GA|CNN|2014-09-30|40|0730|12|3550|5|36|335|363|337|323|5|35|625|355
Atlanta|Douglas GA|CNN|2014-09-30|40|0745|13|3250|5|36|335|363|337|335|5|35|655|655
Atlanta|Douglas GA|CNN|2014-09-30|40|0800|18|6250|5|36|235|563|337|378|5|35|555|555
Atlanta|Douglas GA|CNN|2014-09-30|40|0815|15|6383|3|2|632|735|363|085|32|50|650|085
Atlanta|Douglas GA|CNN|2014-09-30|40|0830|16|825|6|2|58|37|335|25|87|08|87|78
Atlanta|Douglas GA|CNN|2014-09-30|40|0845|1|825|6|2|58|35|355|25|85|06|83|75
Atlanta|Douglas GA|CNN|2014-09-30|40|0900|2|525|6|2|38|85|35|35|85|06|85|05
Atlanta|Douglas GA|CNN|2014-09-30|40|0915|3|3650|5|6|37|365|37|323|5|35|325|355
Atlanta|Douglas GA|CNN|2014-09-30|40|0930|8|3550|5|36|335|363|337|323|5|35|625|355
Atlanta|Douglas GA|CNN|2014-09-30|40|0945|5|3250|5|36|335|363|337|335|5|35|655|655
Atlanta|Douglas GA|CNN|2014-09-30|40|1000|6|6250|5|36|235|563|337|378|5|35|555|555
