market|ZoneName|network|broadcastday|broadcastweek|quarterhrcode|CostPer2KHHImp|HHImp|C25Imp|C611Imp|M1220Imp|M2134Imp|M3454Imp|M55PlusImp|W1220Imp|W2134Imp|W3454Imp|W55PlusImp
Atlanta|Douglas GA|CNN|2016-09-26|40|0515|4|1854|5|8|27|185|27|102|5|15|105|155
Atlanta|Douglas GA|CNN|2016-09-26|40|0530|4|1554|5|18|115|182|127|102|5|15|805|155
Atlanta|Douglas GA|CNN|2016-09-26|40|0545|0|1054|5|18|115|182|127|115|5|15|855|855
Atlanta|Douglas GA|CNN|2016-09-26|40|0600|0|8054|5|18|015|582|127|174|5|15|555|555
Atlanta|Douglas GA|CNN|2016-09-26|40|0615|5|8142|1|0|810|725|181|445|10|54|854|445
Atlanta|Douglas GA|CNN|2016-09-26|40|0630|6|405|8|0|54|27|115|05|47|44|47|74
Atlanta|Douglas GA|CNN|2016-09-26|40|0645|8|405|8|0|54|25|155|05|45|48|42|75
Atlanta|Douglas GA|CNN|2016-09-26|40|0700|2|505|8|0|14|45|25|15|45|48|45|45
Atlanta|Douglas GA|CNN|2016-09-26|40|0715|44|1854|5|8|27|185|27|102|5|15|105|155
Atlanta|Douglas GA|CNN|2016-09-26|40|0730|44|1554|5|18|115|182|127|102|5|15|805|155
Atlanta|Douglas GA|CNN|2016-09-26|40|0745|40|1054|5|18|115|182|127|115|5|15|855|855
Atlanta|Douglas GA|CNN|2016-09-26|40|0800|40|8054|5|18|015|582|127|174|5|15|555|555
Atlanta|Douglas GA|CNN|2016-09-26|40|0815|45|8142|1|0|810|725|181|445|10|54|854|445
Atlanta|Douglas GA|CNN|2016-09-26|40|0830|46|405|8|0|54|27|115|05|47|44|47|74
Atlanta|Douglas GA|CNN|2016-09-26|40|0845|4|405|8|0|54|25|155|05|45|48|42|75
Atlanta|Douglas GA|CNN|2016-09-26|40|0900|4|505|8|0|14|45|25|15|45|48|45|45
Atlanta|Douglas GA|CNN|2016-09-26|40|0915|0|1854|5|8|27|185|27|102|5|15|105|155
Atlanta|Douglas GA|CNN|2016-09-26|40|0930|0|1554|5|18|115|182|127|102|5|15|805|155
Atlanta|Douglas GA|CNN|2016-09-26|40|0945|5|1054|5|18|115|182|127|115|5|15|855|855
Atlanta|Douglas GA|CNN|2016-09-26|40|1000|6|8054|5|18|015|582|127|174|5|15|555|555
Atlanta|Douglas GA|CNN|2016-09-26|40|1015|8|8142|1|0|810|725|181|445|10|54|854|445
Atlanta|Douglas GA|CNN|2016-09-26|40|1030|2|405|8|0|54|27|115|05|47|44|47|74
Atlanta|Douglas GA|CNN|2016-09-26|40|1045|44|405|8|0|54|25|155|05|45|48|42|75
Atlanta|Douglas GA|CNN|2016-09-26|40|1100|44|505|8|0|14|45|25|15|45|48|45|45
Atlanta|Douglas GA|CNN|2016-09-26|40|1115|40|1854|5|8|27|185|27|102|5|15|105|155
Atlanta|Douglas GA|CNN|2016-09-26|40|1130|40|1554|5|18|115|182|127|102|5|15|805|155
Atlanta|Douglas GA|CNN|2016-09-26|40|1145|45|1054|5|18|115|182|127|115|5|15|855|855
Atlanta|Douglas GA|CNN|2016-09-26|40|1200|46|8054|5|18|015|582|127|174|5|15|555|555
Atlanta|Douglas GA|CNN|2016-09-26|40|1215|40|8142|1|0|810|725|181|445|10|54|854|445
Atlanta|Douglas GA|CNN|2016-09-26|40|1230|40|405|8|0|54|27|115|05|47|44|47|74
Atlanta|Douglas GA|CNN|2016-09-26|40|1245|44|405|8|0|54|25|155|05|45|48|42|75
Atlanta|Douglas GA|CNN|2016-09-26|40|1300|44|505|8|0|14|45|25|15|45|48|45|45
Atlanta|Douglas GA|CNN|2016-09-26|40|1315|40|8142|1|0|810|725|181|445|10|54|854|445
Atlanta|Douglas GA|CNN|2016-09-26|40|1330|2|405|8|0|54|27|115|05|47|44|47|74
Atlanta|Douglas GA|CNN|2016-09-26|40|1345|8|405|8|0|54|25|155|05|45|48|42|75
Atlanta|Douglas GA|CNN|2016-09-26|40|1400|7|505|8|0|14|45|25|15|45|48|45|45
Atlanta|Douglas GA|CNN|2016-09-26|40|1415|6|1854|5|8|27|185|27|102|5|15|105|155
Atlanta|Douglas GA|CNN|2016-09-26|40|1430|5|1554|5|18|115|182|127|102|5|15|805|155
Atlanta|Douglas GA|CNN|2016-09-26|40|1445|0|1054|5|18|115|182|127|115|5|15|855|855
Atlanta|Douglas GA|CNN|2016-09-26|40|1500|0|8054|5|18|015|582|127|174|5|15|555|555
Atlanta|Douglas GA|CNN|2016-09-26|40|1515|4|8142|1|0|810|725|181|445|10|54|854|445
Atlanta|Douglas GA|CNN|2016-09-26|40|1530|4|405|8|0|54|27|115|05|47|44|47|74
Atlanta|Douglas GA|CNN|2016-09-26|40|1545|44|405|8|0|54|25|155|05|45|48|42|75
Atlanta|Douglas GA|CNN|2016-09-26|40|1600|44|505|8|0|14|45|25|15|45|48|45|45
Atlanta|Douglas GA|CNN|2016-09-26|40|1615|40|8142|1|0|810|725|181|445|10|54|854|445
Atlanta|Douglas GA|CNN|2016-09-26|40|1630|40|405|8|0|54|27|115|05|47|44|47|74
Atlanta|Douglas GA|CNN|2016-09-26|40|1645|47|405|8|0|54|25|155|05|45|48|42|75
Atlanta|Douglas GA|CNN|2016-09-26|40|1700|44|505|8|0|14|45|25|15|45|48|45|45
Atlanta|Douglas GA|CNN|2016-09-26|40|1715|44|1854|5|8|27|185|27|102|5|15|105|155
Atlanta|Douglas GA|CNN|2016-09-26|40|1730|45|1554|5|18|115|182|127|102|5|15|805|155
Atlanta|Douglas GA|CNN|2016-09-26|40|1745|4|1054|5|18|115|182|127|115|5|15|855|855
Atlanta|Douglas GA|CNN|2016-09-26|40|1800|4|8054|5|18|015|582|127|174|5|15|555|555
Atlanta|Douglas GA|CNN|2016-09-26|40|1815|0|8142|1|0|810|725|181|445|10|54|854|445
Atlanta|Douglas GA|CNN|2016-09-26|40|1830|0|405|8|0|54|27|115|05|47|44|47|74
Atlanta|Douglas GA|CNN|2016-09-26|40|1845|5|405|8|0|54|25|155|05|45|48|42|75
Atlanta|Douglas GA|CNN|2016-09-26|40|1900|6|505|8|0|14|45|25|15|45|48|45|45
Atlanta|Douglas GA|CNN|2016-09-26|40|1915|8|8142|1|0|810|725|181|445|10|54|854|445
Atlanta|Douglas GA|CNN|2016-09-26|40|1930|2|405|8|0|54|27|115|05|47|44|47|74
Atlanta|Douglas GA|CNN|2016-09-26|40|1945|44|405|8|0|54|25|155|05|45|48|42|75
Atlanta|Douglas GA|CNN|2016-09-26|40|2000|44|505|8|0|14|45|25|15|45|48|45|45
Atlanta|Douglas GA|CNN|2016-09-26|40|2115|40|1854|5|8|27|185|27|102|5|15|105|155
Atlanta|Douglas GA|CNN|2016-09-26|40|2130|40|1554|5|18|115|182|127|102|5|15|805|155
Atlanta|Douglas GA|CNN|2016-09-26|40|2145|45|1054|5|18|115|182|127|115|5|15|855|855
Atlanta|Douglas GA|CNN|2016-09-26|40|2200|46|8054|5|18|015|582|127|174|5|15|555|555
Atlanta|Douglas GA|CNN|2016-09-26|40|2215|4|8142|1|0|810|725|181|445|10|54|854|445
Atlanta|Douglas GA|CNN|2016-09-26|40|2230|4|405|8|0|54|27|115|05|47|44|47|74
Atlanta|Douglas GA|CNN|2016-09-26|40|2245|0|405|8|0|54|25|155|05|45|48|42|75
Atlanta|Douglas GA|CNN|2016-09-26|40|2300|0|505|8|0|14|45|25|15|45|48|45|45
