market|ZoneName|network|broadcastday|broadcastweek|quarterhrcode|CostPer1KHHImp|HHImp|C25Imp|C611Imp|M1220Imp|M2134Imp|M3454Imp|M55PlusImp|W1220Imp|W2134Imp|W3454Imp|W55PlusImp
Atlanta|TestZone|CNN|2017-09-29|40|0415|1|12|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|CNN|2017-09-29|40|0530|2|1000|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|CNN|2017-09-29|40|0545|3|100|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|CNN|2017-09-29|40|0600|4|110|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|CNN|2017-09-29|40|0615|5|120|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|CNN|2017-09-29|40|0630|6|2|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|CNN|2017-09-29|40|1745|8|112|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|FXN|2017-09-29|40|0415|10|12|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|FXN|2017-09-29|40|0530|20|2000|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|FXN|2017-09-29|40|0545|30|200|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|FXN|2017-09-29|40|0600|40|210|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|FXN|2017-09-29|40|0615|50|220|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|FXN|2017-09-29|40|0630|60|3|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|FXN|2017-09-29|40|1745|80|212|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|ESPN|2017-09-29|40|0415|1|12|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|ESPN|2017-09-29|40|0530|2|1000|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|ESPN|2017-09-29|40|0545|3|150|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|ESPN|2017-09-29|40|0600|4|160|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|ESPN|2017-09-29|40|0615|5|170|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|ESPN|2017-09-29|40|0630|6|2|0|0|0|0|0|0|0|0|0|0
Atlanta|TestZone|ESPN|2017-09-29|40|1745|8|152|0|0|0|0|0|0|0|0|0|0
